# Table 1 from Gyldenkerne et al. (1975)
# Measurements of HS Hya in instrumental system
# HS Hya   A&A 42, pp. 303-309 (1975)
# npts      JD0        Period
# 533 2441374.5934   1.568035
#   HJD-2440000   phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 n   dd   dm     phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 75 1375 0.72891  0.72289    1.952  0.254  0.034 -0.718  2.206  2.493  2.063
 75 1375 0.73296  0.72547    1.948  0.261  0.024 -0.729  2.209  2.494  2.050
 75 1375 0.73690  0.72798    1.953  0.254  0.029 -0.725  2.208  2.492  2.050
 75 1375 0.74066  0.73038    1.935  0.274  0.014 -0.740  2.209  2.496  2.044
 75 1375 0.74483  0.73304    1.953  0.258  0.026 -0.726  2.210  2.494  2.052
 75 1375 0.74940  0.73595    1.952  0.257  0.025 -0.728  2.208  2.490  2.044
 75 1375 0.75351  0.73857    1.948  0.261  0.022 -0.732  2.209  2.491  2.042
 75 1375 0.75750  0.74112    1.948  0.259  0.024 -0.720  2.207  2.490  2.053
 75 1375 0.76236  0.74422    1.948  0.263  0.020 -0.728  2.211  2.495  2.051
 75 1375 0.76664  0.74695    1.944  0.261  0.025 -0.720  2.205  2.492  2.058
 75 1375 0.77098  0.74972    1.938  0.275  0.013 -0.740  2.212  2.500  2.047
 75 1375 0.77573  0.75274    1.933  0.285 -0.006 -0.718  2.218  2.497  2.057
 75 1375 0.78013  0.75555    1.942  0.269  0.020 -0.736  2.211  2.500  2.054
 75 1375 0.78435  0.75824    1.936  0.276  0.010 -0.728  2.212  2.498  2.056
 75 1375 0.78927  0.76138    1.942  0.272  0.009 -0.723  2.214  2.495  2.053
 75 1375 0.79824  0.76710    1.944  0.265  0.023 -0.736  2.208  2.496  2.047
 75 1375 0.80264  0.76991    1.961  0.252  0.036 -0.748  2.213  2.500  2.039
 75 1375 0.80704  0.77271    1.952  0.263  0.011 -0.716  2.215  2.490  2.048
 75 1375 0.81143  0.77551    1.953  0.260  0.018 -0.718  2.212  2.490  2.049
 75 1375 0.81560  0.77817    1.946  0.273  0.008 -0.737  2.219  2.500  2.044
 75 1375 0.82081  0.78149    1.955  0.249  0.048 -0.761  2.204  2.502  2.038
 75 1375 0.82526  0.78433    1.940  0.273  0.005 -0.720  2.213  2.492  2.050
 75 1375 0.83452  0.79024    1.937  0.276  0.006 -0.727  2.213  2.495  2.050
 75 1375 0.83892  0.79304    1.937  0.271  0.017 -0.726  2.209  2.497  2.058
 75 1375 0.84297  0.79563    1.932  0.266  0.023 -0.726  2.199  2.488  2.052
 75 1375 0.84789  0.79876    1.936  0.275  0.006 -0.728  2.211  2.492  2.045
 75 1375 0.85161  0.80114    1.965  0.240  0.047 -0.746  2.204  2.491  2.033
 75 1375 0.85675  0.80441    1.954  0.255  0.034 -0.743  2.209  2.498  2.043
 75 1375 0.86109  0.80718    1.936  0.275  0.010 -0.738  2.211  2.497  2.044
