title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2415516.539093	1901.359011	 8.18	 0.18	11.63	156.15395	-19.09236	 83.3	0.359	am00779	193	0	1349451776	340185	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415526.555633	1901.386454	 8.24	 0.18	12.06	156.15401	-19.09239	 71.3	0.235	am00791	193	0	1349451776	744149	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415557.526492	1901.471305	 8.26	 0.16	12.80	156.15490	-19.09187	 74.5	0.329	am00866	193	128	1349451779	263788	385	0.000700	7	0,1,16,17,18,19,21,22,28,30	0,7,8
2415724.914211	1901.929902	 8.22	 0.27	11.81	156.15408	-19.09183	 -4.7	0.368	ac02060	190	0	1349453824	17342	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415726.874079	1901.935271	 8.85	 0.27	13.16	156.15362	-19.09261	 66.7	0.435	b28955	184	0	1349454848	1156606	576	0.000700		10,11,16,17,18,19,21,22,28,30	6,9
2415751.877455	1902.003774	 8.17	 0.15	12.86	156.15723	-19.09076	 61.2	0.210	ac02139	190	0	1349451776	180204	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415752.769309	1902.006217	 8.27	 0.27	12.26	156.15422	-19.09295	 82.8	0.251	am01144	193	0	1349453824	1100989	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415755.800012	1902.014521	 8.00	 0.23	11.84	156.15361	-19.09145	-39.8	0.233	ac02167	190	16384	1349453824	24013	256	0.000700	14	11,16,17,18,19,21,22,28,30	8
2415769.805718	1902.052892	 7.88	 0.19	11.91	156.15704	-19.09050	 71.0	0.140	ac02214	190	0	1349453824	25318	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415784.754157	1902.093847	 8.11	 0.20	11.72	156.15322	-19.09104	 52.1	0.037	ac02264	190	33570944	1349388288	30942	257	0.000700	7,14,25	11,17,18,19,21,22,28,30	0,8
2415786.788952	1902.099422	 7.90	 0.27	12.79	156.15902	-19.09035	 70.7	0.297	ac02277	190	8388736	1349453824	218859	257	0.000700	7,23	11,16,17,18,19,21,22,28,30	0,8
2415823.622350	1902.200335	 8.17	 0.19	11.91	156.15361	-19.09104	-48.5	0.236	ac02409	190	0	1349453824	32185	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415827.691133	1902.211483	 8.87	 0.37	13.55	156.15400	-19.09240	 57.9	0.343	b29162	184	0	1349454848	695964	576	0.000700		10,11,16,17,18,19,21,22,28,30	6,9
