hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457915.46147,bh,V,8.634,0.02,1244.069,22.891
2457772.71167,bh,V,8.626,0.02,1252.97,23.055
2457722.78112,bg,V,8.584,0.02,1413.66,26.011
2457485.69875,bh,V,8.63,0.02,1247.827,22.96
2457404.82519,bg,V,8.311,0.02,1817.193,33.436
2457181.54032,be,V,8.603,0.02,1578.911,29.052
2457180.53146,bf,V,8.728,0.02,1217.14,22.395
2457471.86514,bd,V,8.682,0.02,1474.252,27.126
2457445.67464,bg,V,8.344,0.02,1763.042,32.44
2457402.82161,bg,V,8.324,0.02,1795.319,33.034
2457375.75844,bh,V,8.585,0.02,1301.471,23.947
2457348.7981,bg,V,8.352,0.02,1750.262,32.205
2457092.6882,be,V,8.56,0.02,1642.228,30.217
2457043.7535,bf,V,8.582,0.02,1393.107,25.633
2456979.13298,bd,V,8.546,0.02,1671.447,30.755
2458233.73871,bc,V,8.748,0.02,1245.616,22.919
2458086.77205,bg,V,8.789,0.02,1170.151,21.531
2457836.69041,bg,V,8.499,0.02,1528.27,28.12
2457786.96012,bd,V,8.617,0.02,1565.526,28.806
2457696.85002,bh,V,8.591,0.02,1293.618,23.803
2457490.74734,bc,V,8.642,0.02,1373.238,25.268
2457010.77676,be,V,8.567,0.02,1632.481,30.038
2456965.83664,bf,V,8.557,0.02,1425.934,26.237
2458094.85488,bh,V,8.498,0.02,1410.021,25.944
2457721.79183,bh,V,8.532,0.02,1366.692,25.147
2457425.7836,bh,V,8.535,0.02,1361.999,25.061
2457373.73449,bg,V,8.425,0.02,1636.913,30.119
2457146.53583,be,V,8.529,0.02,1690.277,31.101
2456701.86658,bc,V,8.541,0.02,1507.767,27.743
2457924.50701,bg,V,8.593,0.02,1402.317,25.803
2457894.62712,bh,V,8.51,0.02,1394.431,25.658
2457461.8526,bd,V,8.637,0.02,1536.902,28.279
2457153.60944,bf,V,8.576,0.02,1400.688,25.773
2457150.63615,be,V,8.636,0.02,1531.459,28.179
2457043.73828,be,V,8.555,0.02,1649.364,30.348
2457801.96174,bd,V,8.622,0.02,1556.774,28.645
2457800.61965,bg,V,8.611,0.02,1379.063,25.375
2457759.66447,bg,V,8.609,0.02,1380.77,25.406
2457523.59921,bg,V,8.491,0.02,1539.517,28.327
2457453.7104,bh,V,8.602,0.02,1281.034,23.571
2457411.00427,bc,V,8.638,0.02,1378.519,25.365
2456625.04112,bc,V,8.188,0.02,2087.473,38.41
2456619.07083,bd,V,8.254,0.02,2186.979,40.24
2458220.61826,bh,V,8.66,0.02,1214.42,22.345
2458137.78676,bg,V,8.697,0.02,1274.335,23.448
2457775.03361,bd,V,8.596,0.02,1594.406,29.337
2457764.02076,bd,V,8.578,0.02,1622.359,29.851
2457752.71116,bh,V,8.575,0.02,1312.695,24.154
2457718.80123,bh,V,8.587,0.02,1298.785,23.898
2457410.78633,bh,V,8.63,0.02,1248.329,22.969
2456832.48278,be,V,8.532,0.02,1686.087,31.024
2458309.47224,bh,V,8.922,0.02,953.961,17.553
2458223.71531,bh,V,8.661,0.02,1213.307,22.325
2458055.85947,bg,V,9.206,0.02,796.926,14.663
2457911.57988,bh,V,8.574,0.02,1314.12,24.18
2457880.54216,bg,V,8.559,0.02,1446.209,26.61
2457817.63178,bg,V,8.563,0.02,1441.25,26.519
2456972.80054,be,V,8.628,0.02,1542.358,28.379
2456961.85212,bf,V,8.548,0.02,1436.56,26.433
2458158.61839,bg,V,8.943,0.02,1015.203,18.68
2458084.82767,bh,V,8.491,0.02,1418.994,26.109
2457903.51277,bg,V,8.54,0.02,1472.158,27.088
2457367.78528,bh,V,8.645,0.02,1231.386,22.658
2457118.72788,bf,V,8.614,0.02,1351.901,24.875
2458143.75099,bg,V,9.532,0.02,590.366,10.863
2458039.88117,bg,V,9.189,0.02,809.644,14.897
2457725.80679,bg,V,8.51,0.02,1513.711,27.852
2457720.77314,bg,V,8.57,0.02,1432.413,26.356
2457500.76877,bd,V,8.603,0.02,1586.678,29.195
2457420.79259,bg,V,8.368,0.02,1724.117,31.724
2457395.77234,bg,V,8.268,0.02,1890.466,34.785
2457389.75311,bg,V,8.401,0.02,1673.013,30.783
2457132.74178,bc,V,8.584,0.02,1448.852,26.659
2457049.00213,bd,V,8.548,0.02,1668.385,30.698
2457853.62987,bg,V,8.63,0.02,1355.343,24.938
2457751.69942,bg,V,8.629,0.02,1356.784,24.965
2457737.08814,bc,V,8.587,0.02,1444.901,26.586
2457691.84893,bg,V,8.604,0.02,1388.205,25.543
2457438.60024,bg,V,8.325,0.02,1795.158,33.031
2457045.70476,be,V,8.574,0.02,1621.842,29.842
2457012.76886,be,V,8.561,0.02,1640.8,30.191
2458311.46489,bh,V,8.928,0.02,948.617,17.455
2458159.93979,bc,V,8.647,0.02,1367.958,25.17
2458103.76134,bg,V,8.828,0.02,1128.822,20.77
2457831.80927,bc,V,8.713,0.02,1286.291,23.668
2457557.50464,bg,V,8.431,0.02,1627.275,29.942
2457083.67838,be,V,8.555,0.02,1650.328,30.366
2457010.13376,bd,V,8.511,0.02,1726.029,31.759
2457729.75236,bg,V,8.667,0.02,1309.853,24.101
2457438.87264,bh,V,8.611,0.02,1270.645,23.38
2457402.76395,bh,V,8.588,0.02,1297.656,23.877
2456993.78258,be,V,8.58,0.02,1612.342,29.667
2456639.00293,bc,V,8.825,0.02,1160.473,21.353
2458148.80543,bg,V,8.624,0.02,1362.933,25.078
2457910.53827,bg,V,8.729,0.02,1236.606,22.754
2457828.56116,bg,V,8.607,0.02,1383.411,25.455
2457745.80265,bg,V,8.565,0.02,1438.744,26.473
2457745.78832,bh,V,8.614,0.02,1266.396,23.302
2457739.82729,bg,V,8.566,0.02,1437.58,26.451
2457187.49022,bf,V,8.871,0.02,1067.124,19.635
2457904.59799,bh,V,8.463,0.02,1455.808,26.787
2457363.81666,bh,V,8.545,0.02,1349.388,24.829
2456969.81109,be,V,8.657,0.02,1501.511,27.628
2456798.74798,bc,V,8.49,0.02,1580.149,29.075
2458187.87489,bc,V,8.711,0.02,1289.164,23.721
2458044.86468,bg,V,9.546,0.02,582.923,10.726
