,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
25,156.1531476,-19.0925406,b'10h24m36.76s',b'-19d05m33.15s',0.0291,0.0268,-0.0139,6.69,0.023,48.1,2.218,6.88,0.013,83.7,2.186,1,0,0000,AA,10,57000.94849375,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.254867,224.380553
26,156.1531433,-19.0925039,b'10h24m36.75s',b'-19d05m33.01s',0.0264,0.0329,-0.0046,6.548,0.027,40.4,5.915,6.907,0.014,75.2,3.181,1,0,0000,AA,10,57000.94862106,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.199286,255.456898
27,156.1531438,-19.0924667,b'10h24m36.75s',b'-19d05m32.88s',0.0245,0.0353,-0.0111,6.355,0.033,32.6,3.935,6.788,0.014,75.2,9.496,1,0,0000,AA,10,57005.41781339,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.208778,293.688212
28,156.1530902,-19.0924886,b'10h24m36.74s',b'-19d05m32.96s',0.0288,0.0251,-0.0143,6.728,0.02,53.5,17.25,6.787,0.013,86.6,3.659,1,0,0000,AA,5,57172.0463353,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.373577,270.773008
29,156.1534092,-19.0924617,b'10h24m36.82s',b'-19d05m32.86s',0.0242,0.0234,-0.009,6.535,0.018,58.7,126.0,6.895,0.012,91.5,205.5,1,0,0000,AA,5,57172.04646262,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.71895,81.85339
30,156.1531287,-19.0925304,b'10h24m36.75s',b'-19d05m33.11s',0.0258,0.0231,-0.0099,6.763,0.02,54.3,3.175,6.899,0.011,95.7,3.416,1,0,0000,AA,10,57172.17762052,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.28282,239.052957
31,156.1529942,-19.0925071,b'10h24m36.72s',b'-19d05m33.03s',0.0262,0.0248,-0.0098,6.505,0.019,57.3,50.56,6.785,0.014,78.6,17.16,1,0,0000,AA,10,57172.30890575,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.702823,264.975038
32,156.1531664,-19.0925492,b'10h24m36.76s',b'-19d05m33.18s',0.0228,0.0279,0.0059,6.258,0.026,41.2,4.963,6.887,0.011,96.5,14.07,1,0,0000,AA,10,57172.37448472,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.241839,208.206727
33,156.153135,-19.0925407,b'10h24m36.75s',b'-19d05m33.15s',0.0303,0.0279,-0.014,6.737,0.028,38.6,1.225,6.859,0.015,73.9,1.968,1,0,0000,AA,10,57172.44006366,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.286718,230.463584
34,156.153268,-19.0925606,b'10h24m36.78s',b'-19d05m33.22s',0.0247,0.024,-0.0104,6.37,0.025,43.0,12.05,6.862,0.011,95.3,15.33,1,0,0000,AA,10,57172.50576995,1568019701351064865,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,1280239865,7.206,0.0214,7.034,0.0343,6.957,0.0156,0.343678,137.691856
